Study_Hours,Attendance,Assignments_Completed,Internal_Marks,Result
3.44,61.84,1,22.62,0
6.8,81.4,7,18.62,1
4.68,91.5,0,33.75,0
1.23,70.78,1,12.69,0
2.41,62.92,7,38.58,0
7.44,93.35,5,38.13,1
6.93,83.46,9,24.2,1
1.24,72.4,1,45.71,0
3.0,74.4,1,30.09,0
3.08,60.21,6,35.83,0
7.05,81.34,4,18.38,1
1.18,67.94,4,26.69,0
1.94,99.78,7,44.5,1
8.2,74.01,6,18.52,1
2.61,74.29,8,25.62,1
6.87,78.29,3,22.72,1
3.14,95.84,9,16.04,1
1.89,90.04,3,21.59,0
3.19,72.56,1,19.31,0
7.5,85.93,2,46.94,1
8.7,79.31,0,39.64,1
8.47,74.62,0,22.64,1
4.57,59.62,6,40.53,1
7.01,73.2,4,10.89,1
2.84,62.29,2,31.06,0
3.64,95.74,6,20.01,1
9.07,66.77,1,14.57,1
1.12,97.61,2,45.35,0
1.77,76.65,0,17.97,0
2.87,81.58,7,42.9,1
1.24,77.15,1,26.53,0
2.63,56.47,6,10.57,0
6.25,68.79,8,39.3,1
4.79,54.96,5,33.85,0
9.03,81.15,1,23.77,1
8.36,72.34,1,21.26,1
4.08,88.9,8,12.95,1
3.33,61.02,9,47.66,1
4.42,58.23,7,29.76,1
6.31,70.32,8,13.42,1
3.41,96.33,3,44.75,1
6.62,85.52,3,21.15,1
4.68,70.95,1,18.14,0
5.97,75.86,9,21.24,1
4.93,54.21,0,32.58,0
3.65,99.23,9,12.96,1
9.54,83.32,3,29.27,1
7.87,64.27,9,45.83,1
2.26,79.29,9,17.53,1
8.82,55.47,7,23.25,1
5.39,98.29,1,25.84,1
9.05,58.74,7,33.45,1
8.2,82.4,0,46.77,1
4.83,62.27,0,25.78,0
1.2,85.88,3,12.77,0
3.42,88.84,6,23.92,1
5.87,83.67,8,17.6,1
6.7,80.72,4,36.07,1
3.32,94.62,1,11.17,0
2.25,53.93,6,21.68,0
8.51,66.55,1,31.81,1
9.86,62.41,8,21.09,1
5.73,99.4,8,32.04,1
2.55,69.47,2,14.59,0
3.45,86.63,7,47.71,1
1.17,84.24,3,21.64,0
9.23,60.6,2,46.92,1
2.06,61.95,0,23.03,0
6.19,64.06,4,41.27,1
3.47,70.56,3,19.85,0
5.99,61.72,0,36.79,0
6.86,50.98,9,22.95,1
8.47,93.97,7,30.37,1
2.86,98.28,7,36.95,1
1.1,67.08,7,33.56,0
2.23,66.93,2,33.05,0
9.1,50.35,5,12.63,1
8.87,84.01,6,19.96,1
6.38,91.27,8,32.87,1
6.4,57.33,4,10.73,1
6.99,57.98,8,20.03,1
2.58,89.5,5,19.17,0
9.23,80.81,9,19.99,1
4.77,52.24,9,31.42,1
4.45,81.13,9,33.28,1
5.67,65.45,3,46.36,1
1.42,68.44,0,25.44,0
2.5,88.49,0,47.06,0
7.64,90.55,9,36.08,1
1.75,70.02,4,46.51,0
6.43,97.36,2,43.34,1
3.21,70.32,4,37.5,0
4.5,88.59,4,24.24,1
3.6,74.19,0,19.64,0
4.2,94.88,7,18.9,1
7.47,95.39,4,48.09,1
3.67,54.37,4,48.34,0
6.1,96.82,8,38.99,1
5.28,91.28,7,45.35,1
6.97,89.57,0,46.76,1
9.43,60.05,2,30.46,1
7.59,90.26,6,35.16,1
2.93,92.51,0,26.75,0
1.28,64.46,0,26.74,0
3.36,97.61,4,11.54,1
6.36,52.49,8,27.35,1
1.46,57.5,5,36.94,0
5.47,76.88,9,26.88,1
6.37,78.79,1,44.9,1
4.01,82.26,8,23.3,1
7.94,50.85,5,15.31,1
1.96,98.02,4,42.46,0
1.68,52.23,4,36.96,0
7.55,57.15,2,19.67,1
5.46,50.7,5,31.46,1
7.2,78.34,3,26.07,1
4.91,96.61,9,47.55,1
3.22,83.3,1,34.29,0
8.37,91.13,2,16.34,1
8.19,50.66,8,30.09,1
7.25,77.1,8,44.5,1
3.45,72.98,5,36.86,0
6.31,74.95,9,43.7,1
4.25,53.61,9,20.02,1
1.82,84.22,8,45.53,1
9.26,75.16,3,40.22,1
2.23,88.26,4,39.16,0
9.55,74.26,9,23.86,1
5.01,57.47,5,45.51,1
2.67,82.41,8,35.52,1
5.88,58.62,4,44.07,1
8.86,93.62,7,24.44,1
7.59,80.66,0,15.83,1
8.26,57.86,4,23.29,1
6.93,98.12,9,28.21,1
7.23,75.92,0,31.34,1
8.64,53.64,9,30.43,1
3.25,81.34,5,31.84,1
5.4,62.66,6,43.67,1
2.99,90.18,4,16.8,0
9.89,90.89,0,22.64,1
9.5,98.95,5,45.54,1
1.35,75.09,9,32.42,0
7.35,72.75,4,33.34,1
9.33,87.67,5,29.12,1
2.63,56.62,9,31.96,0
6.11,77.35,6,17.92,1
9.24,77.31,6,31.87,1
1.31,54.47,1,49.89,0
7.28,70.9,2,32.64,1
3.68,92.66,5,11.78,1
9.32,92.81,2,41.86,1
9.74,54.96,1,25.86,1
9.5,54.54,3,16.15,1
5.27,63.13,4,44.5,1
8.76,93.74,9,17.92,1
8.6,56.45,8,46.83,1
3.87,86.0,2,27.67,0
8.46,55.06,2,39.71,1
1.33,81.16,5,31.88,0
6.37,67.8,4,20.27,1
3.07,89.45,5,36.84,1
2.09,61.68,6,48.32,0
1.69,81.96,2,40.79,0
7.27,61.78,4,34.16,1
4.06,85.68,7,49.63,1
7.52,93.68,3,20.61,1
1.59,56.34,9,12.49,0
3.84,93.33,1,11.29,0
5.86,79.68,3,38.43,1
8.12,56.36,1,43.21,1
3.87,71.38,2,35.4,0
6.63,58.04,3,46.2,1
8.97,85.02,3,37.92,1
6.54,87.94,9,24.84,1
3.1,55.29,8,17.25,0
1.22,75.31,9,46.99,1
8.83,90.73,5,14.14,1
1.19,96.81,8,31.72,1
8.87,75.68,3,22.56,1
5.76,97.51,8,20.86,1
9.45,76.78,8,35.83,1
8.19,69.71,5,19.25,1
9.98,92.41,4,46.65,1
4.16,74.65,2,26.24,0
7.9,73.6,4,37.1,1
4.62,74.52,2,39.11,0
5.32,92.34,4,37.32,1
6.65,91.6,4,46.14,1
8.86,70.18,1,19.25,1
9.86,66.66,8,13.44,1
7.91,74.6,6,12.22,1
4.76,78.64,5,45.11,1
4.79,61.92,4,48.93,1
7.64,89.7,3,22.1,1
3.15,74.32,7,37.74,1
1.99,66.7,1,10.36,0
4.19,55.34,7,17.55,0
3.59,61.94,0,37.57,0
3.67,97.46,9,12.64,1
3.1,65.25,0,28.74,0
1.38,58.44,2,36.5,0
1.16,73.03,4,40.64,0
9.89,65.35,5,28.15,1
4.85,51.76,3,35.21,0
4.46,66.16,6,31.58,1
7.12,77.21,6,12.09,1
2.96,77.59,1,39.71,0
9.55,67.83,1,16.89,1
8.08,72.37,1,11.27,1
1.8,98.28,1,28.05,0
4.76,68.87,8,44.63,1
8.91,62.91,4,16.03,1
9.5,62.17,7,10.51,1
5.21,72.89,4,14.4,1
6.52,87.98,4,24.55,1
2.5,60.3,0,33.21,0
9.92,85.46,5,17.72,1
3.09,51.06,3,42.08,0
9.48,70.95,2,40.13,1
6.85,88.79,5,37.83,1
6.47,66.94,1,29.5,1
5.61,78.19,7,24.61,1
3.08,60.25,0,25.02,0
2.59,87.1,8,30.12,1
2.98,52.61,7,13.09,0
2.68,92.63,0,37.29,0
8.02,59.91,9,24.06,1
4.15,93.72,8,18.99,1
1.52,67.63,1,21.13,0
9.72,86.13,2,17.21,1
8.95,65.96,1,46.06,1
9.35,95.3,7,16.76,1
9.95,56.33,1,45.32,1
2.57,58.93,9,32.89,0
4.57,74.65,1,44.7,0
7.82,54.1,0,28.96,1
7.26,59.8,6,47.11,1
2.39,97.19,1,18.46,0
8.34,98.82,9,32.19,1
3.02,68.81,4,15.03,0
3.01,96.16,4,27.89,1
5.83,77.24,2,32.8,1
6.34,63.49,2,34.23,1
6.22,85.12,2,24.62,1
1.82,82.95,5,13.05,0
8.9,99.46,3,36.21,1
3.39,63.25,2,29.54,0
2.17,83.6,1,15.48,0
9.0,52.6,2,47.44,1
9.6,55.68,3,48.23,1
8.76,50.2,5,44.26,1
8.29,99.97,3,43.75,1
6.9,90.11,7,13.95,1
5.96,89.34,2,49.74,1
1.78,75.49,2,26.02,0
4.68,65.0,2,16.52,0
4.35,57.56,7,42.48,1
3.34,64.23,3,19.03,0
7.51,68.8,0,31.05,1
5.46,87.82,1,15.12,1
1.73,76.98,9,28.99,1
2.98,53.87,1,32.33,0
7.15,50.9,2,27.84,1
1.69,55.12,5,12.78,0
8.66,70.52,7,29.4,1
5.46,96.66,0,28.76,1
5.33,81.87,8,20.46,1
6.33,90.09,0,46.86,1
8.42,73.32,9,26.71,1
4.13,68.08,1,44.56,0
7.1,55.42,2,14.39,1
6.09,93.8,6,22.76,1
3.4,89.16,8,17.05,1
8.91,58.41,2,26.34,1
8.18,75.61,7,14.47,1
6.93,74.37,8,27.64,1
8.66,81.25,9,24.15,1
8.81,97.31,6,18.93,1
7.38,78.99,3,35.69,1
8.53,77.01,3,48.04,1
7.28,52.52,3,18.28,1
7.12,53.15,5,38.47,1
6.57,59.37,3,39.7,1
7.77,51.62,4,29.92,1
2.43,87.17,8,45.91,1
8.93,86.17,6,48.66,1
8.85,56.8,7,24.49,1
1.26,91.8,4,36.04,0
8.43,57.74,4,36.49,1
2.16,65.06,6,26.15,0
4.02,62.45,7,22.67,1
7.69,68.62,8,47.35,1
2.45,62.73,1,41.6,0
8.36,74.45,2,14.58,1
8.49,70.37,1,14.8,1
5.57,99.33,9,46.9,1
1.06,52.8,6,13.26,0
3.58,57.11,1,37.54,0
6.55,52.64,1,19.07,0
9.83,81.29,1,11.41,1
6.69,52.73,3,12.39,0
3.34,91.82,0,24.94,0
6.71,75.6,1,13.1,1
5.86,76.35,2,33.87,1
8.02,78.08,6,35.89,1
1.96,58.54,9,24.94,0
7.85,59.88,0,39.72,1
5.87,65.94,5,29.6,1
9.67,79.67,2,27.21,1
4.08,60.51,2,26.28,0
6.69,55.82,3,27.24,1
9.39,98.51,3,48.72,1
1.92,51.1,6,37.26,0
9.44,90.13,2,22.61,1
7.19,89.4,7,39.35,1
1.61,64.86,7,23.21,0
3.71,56.78,6,15.03,0
7.37,57.28,1,29.01,1
1.61,84.87,4,40.04,0
6.24,82.14,5,25.11,1
4.11,89.14,9,44.77,1
6.59,96.87,3,25.48,1
1.41,84.6,9,23.99,1
8.84,57.79,4,49.93,1
9.76,62.17,8,29.3,1
9.72,92.11,6,42.21,1
7.75,60.47,1,42.2,1
2.17,53.63,0,47.05,0
7.82,85.16,1,13.4,1
1.22,70.13,2,20.85,0
1.2,96.0,1,40.71,0
3.91,82.51,2,32.5,0
5.4,54.52,9,32.38,1
7.93,97.39,8,16.65,1
7.15,62.93,3,21.25,1
5.01,66.86,8,30.85,1
3.46,70.11,2,21.09,0
9.97,52.56,0,18.41,1
4.84,74.83,4,13.51,1
5.06,56.17,9,16.23,1
2.47,70.05,9,40.75,1
8.15,67.54,1,38.75,1
7.24,88.64,3,11.83,1
2.99,90.16,1,18.13,0
1.74,57.67,1,32.42,0
7.12,68.33,2,22.91,1
6.89,68.67,4,42.93,1
3.46,57.57,3,41.4,0
9.56,89.92,1,45.66,1
2.36,85.36,9,32.52,1
4.89,59.52,1,24.08,0
9.49,68.34,5,34.24,1
4.78,55.29,6,13.57,0
6.75,81.41,9,10.38,1
4.58,56.07,5,10.68,0
3.47,99.3,6,26.3,1
9.86,89.03,0,19.12,1
4.68,69.51,5,16.29,1
9.05,78.93,2,34.61,1
3.07,95.57,0,49.8,0
2.92,77.7,7,17.11,1
1.28,58.72,3,31.86,0
6.87,68.94,9,14.79,1
4.32,92.16,7,47.37,1
8.78,82.21,9,21.67,1
5.26,82.54,3,45.13,1
9.71,93.34,3,21.32,1
2.67,94.7,9,42.24,1
8.82,95.99,3,18.38,1
7.99,54.74,5,21.71,1
7.94,77.21,8,17.7,1
8.6,87.03,4,20.57,1
7.85,87.85,9,43.39,1
6.64,80.34,7,35.56,1
2.18,58.34,7,26.24,0
1.29,89.87,3,48.86,0
9.29,86.01,9,28.59,1
6.55,54.31,8,48.79,1
8.17,73.19,8,17.86,1
5.33,58.7,4,46.19,1
2.06,66.87,5,10.55,0
2.13,50.9,4,31.81,0
7.17,70.02,2,26.92,1
4.87,77.49,7,31.0,1
2.8,80.98,8,32.14,1
5.42,83.17,3,25.56,1
1.58,91.81,8,49.93,1
6.24,60.77,8,49.06,1
3.42,56.02,6,48.47,0
8.18,92.58,7,49.16,1
3.79,57.83,2,41.72,0
5.1,98.74,4,49.54,1
1.1,92.13,2,45.69,0
1.65,75.04,6,26.64,0
4.53,99.07,5,41.39,1
5.32,54.87,2,46.48,0
6.4,65.15,8,38.5,1
3.62,81.91,0,26.91,0
7.25,67.5,9,12.63,1
8.74,96.42,2,42.39,1
8.02,53.28,9,48.11,1
1.36,77.47,6,24.5,0
5.32,79.54,2,16.08,1
1.94,82.64,2,23.06,0
3.18,62.78,1,33.3,0
9.88,68.23,8,22.68,1
2.28,92.18,3,34.42,0
5.49,59.75,9,48.67,1
6.56,91.34,5,36.83,1
7.32,78.13,1,24.51,1
6.04,88.11,8,47.43,1
1.09,85.68,6,32.63,0
3.94,60.38,9,15.13,1
5.66,78.44,4,29.96,1
1.79,93.39,6,36.15,1
4.16,71.61,3,43.53,0
1.3,98.33,9,47.46,1
1.71,72.61,6,22.7,0
4.57,57.14,1,16.22,0
2.19,69.47,6,12.95,0
6.11,97.59,3,39.53,1
7.21,65.99,3,41.81,1
8.21,93.4,0,26.37,1
2.8,94.06,2,25.84,0
2.51,67.51,4,48.17,0
1.94,54.16,4,46.67,0
6.73,86.23,1,19.33,1
7.36,65.58,3,41.23,1
1.28,89.15,0,34.91,0
9.43,72.13,8,16.17,1
1.47,74.26,0,24.27,0
5.87,88.9,5,17.1,1
7.38,69.12,6,21.81,1
8.84,72.16,2,34.61,1
7.43,68.81,0,25.01,1
8.22,68.37,6,25.76,1
4.06,76.3,2,31.59,0
8.33,90.44,9,13.49,1
1.72,68.09,5,39.55,0
9.05,76.21,5,26.07,1
5.93,83.54,3,29.22,1
8.36,63.47,5,48.97,1
5.07,63.88,9,23.77,1
6.79,96.67,3,35.93,1
5.74,86.18,7,25.7,1
7.58,78.86,8,45.77,1
1.73,82.39,1,43.87,0
1.54,51.46,6,19.66,0
3.22,80.91,8,37.67,1
2.44,75.48,8,12.61,0
8.85,77.29,4,48.53,1
2.97,67.97,0,23.96,0
9.78,54.07,5,43.27,1
4.03,59.67,7,22.74,1
2.64,97.54,0,35.31,0
8.11,70.43,1,49.34,1
6.93,73.33,0,45.07,1
5.48,52.64,4,16.41,0
6.0,51.88,1,31.9,0
7.47,85.86,9,23.94,1
3.06,76.9,9,27.37,1
9.97,75.44,3,23.41,1
9.77,62.16,0,23.44,1
6.85,87.24,6,31.7,1
2.8,58.41,7,17.68,0
7.12,59.5,4,31.5,1
1.65,73.04,1,21.16,0
1.28,64.31,7,21.56,0
3.32,62.37,0,39.55,0
5.16,82.26,6,11.18,1
8.81,82.55,0,25.24,1
7.54,91.23,5,26.3,1
7.68,70.89,5,29.4,1
4.83,53.65,4,36.76,0
4.11,63.68,1,24.79,0
4.34,99.0,1,18.53,1
9.89,79.81,8,45.39,1
1.36,85.49,4,49.24,0
8.8,50.37,4,10.8,1
6.21,75.91,6,31.86,1
4.95,51.88,5,23.67,0
7.53,78.46,1,21.08,1
5.38,96.04,0,23.43,1
8.86,98.42,4,35.56,1
9.11,77.03,3,17.63,1
4.8,72.91,2,46.51,0
3.49,97.25,1,28.64,0
6.33,83.68,9,23.02,1
9.21,53.24,1,40.62,1
2.9,73.29,3,10.65,0
6.61,62.01,1,27.27,0
6.68,73.49,3,24.21,1
7.6,72.77,2,23.53,1
2.18,79.11,8,23.48,1
7.44,67.84,6,11.25,1
9.18,58.21,2,16.08,1
2.62,75.19,7,15.68,0
3.14,91.51,8,49.54,1
9.74,83.2,6,10.89,1
2.63,66.92,5,16.68,0
8.69,96.78,3,48.97,1
5.43,95.61,4,35.13,1
3.23,60.47,7,28.03,0
8.84,51.97,2,13.15,1
5.01,87.07,1,36.79,1
5.63,91.38,2,15.51,1
4.23,98.39,6,36.85,1
6.34,94.49,7,49.17,1
2.47,80.03,0,31.28,0
4.52,76.5,6,18.56,1
9.72,51.39,8,35.01,1
3.32,62.33,2,30.52,0
6.91,72.98,2,31.33,1
3.93,81.43,7,29.12,1
7.96,77.86,3,36.95,1
2.18,87.13,7,32.88,1
9.73,63.99,4,49.48,1
5.08,78.25,2,43.03,1
3.12,54.41,3,20.59,0
1.66,70.68,3,39.03,0
2.53,87.51,7,18.57,1
5.68,84.67,5,41.29,1
4.03,99.53,6,15.9,1
8.46,63.89,8,28.94,1
4.88,74.91,5,41.62,1
3.24,66.48,2,21.2,0
6.55,72.03,2,43.48,1
7.36,92.85,2,35.77,1
2.5,84.21,9,25.9,1
2.51,94.12,1,26.94,0
1.33,60.18,0,47.04,0
7.63,93.67,9,18.71,1
6.97,52.99,0,37.73,0
5.27,94.43,3,38.29,1
8.6,66.45,2,46.9,1
8.25,65.73,4,38.53,1
6.27,75.6,8,33.38,1
8.81,97.03,7,46.1,1
2.85,52.39,8,43.17,0
2.01,67.61,4,38.67,0
3.43,92.83,7,11.3,1
1.51,69.8,3,24.94,0
5.78,59.96,4,35.28,1
9.43,71.24,2,30.89,1
1.35,69.28,4,22.77,0
2.1,95.77,2,15.78,0
5.07,88.1,4,32.12,1
9.4,75.26,4,21.44,1
3.85,99.42,5,19.32,1
5.57,73.26,8,25.96,1
1.37,52.91,0,41.42,0
2.34,63.11,9,29.51,0
9.88,71.8,5,18.66,1
9.69,57.85,0,14.68,1
1.04,97.38,5,29.96,0
9.57,88.34,1,41.77,1
6.75,63.41,7,36.11,1
8.81,79.54,2,19.29,1
5.09,86.07,9,27.47,1
5.64,97.06,5,44.21,1
5.4,94.08,5,17.11,1
7.0,75.76,3,31.28,1
2.26,88.73,4,24.25,0
1.27,78.11,1,14.97,0
3.77,77.64,9,12.0,1
7.34,55.74,9,32.23,1
2.82,56.31,7,10.83,0
7.06,76.48,9,14.14,1
9.73,63.44,6,23.9,1
1.85,51.05,9,11.74,0
7.05,86.14,5,26.02,1
4.99,51.62,6,15.21,0
8.81,79.76,0,23.99,1
2.59,76.96,4,41.65,0
7.23,98.44,6,35.05,1
8.54,74.21,0,27.82,1
9.5,53.18,1,13.67,1
7.15,77.58,8,34.77,1
5.47,92.05,2,16.55,1
6.56,99.84,5,13.06,1
8.82,71.52,6,36.56,1
6.14,66.01,8,46.48,1
1.27,95.33,4,28.42,0
9.38,59.56,3,11.64,1
7.21,80.77,1,45.21,1
7.09,70.29,2,12.68,1
2.94,52.05,4,44.7,0
6.93,67.36,1,25.67,1
4.54,63.26,3,24.62,0
6.86,84.3,0,31.71,1
1.96,97.44,3,48.28,0
6.92,63.4,6,45.95,1
9.99,90.57,2,28.81,1
1.43,52.77,9,37.83,0
9.79,76.91,7,33.22,1
4.66,53.53,5,37.74,0
8.84,96.7,5,43.17,1
8.04,88.32,0,11.38,1
6.1,82.9,4,23.03,1
7.65,91.19,2,48.37,1
8.91,82.38,9,47.97,1
4.64,98.45,0,10.45,0
3.94,85.7,7,18.06,1
7.01,96.23,6,49.75,1
8.27,75.86,6,29.71,1
7.86,55.85,9,32.91,1
8.18,76.41,9,16.66,1
4.92,56.34,9,45.77,1
8.36,79.62,3,19.25,1
2.08,74.12,5,17.59,0
5.9,81.13,8,19.12,1
1.05,50.5,2,46.78,0
3.92,59.74,8,38.11,1
4.3,74.57,3,40.74,0
4.57,97.53,4,25.08,1
7.26,69.18,6,46.37,1
4.5,71.22,5,41.58,1
5.04,85.73,9,40.02,1
3.14,80.19,7,48.84,1
4.36,64.95,7,24.65,1
3.05,70.54,7,34.44,1
1.66,60.88,2,46.4,0
6.43,98.3,9,41.64,1
7.01,56.53,5,32.54,1
6.58,68.59,6,13.05,1
5.17,51.29,8,36.11,1
4.42,61.09,9,31.06,1
8.77,89.02,9,17.37,1
5.67,60.06,3,45.29,1
5.31,54.0,4,23.73,0
1.23,73.72,7,25.5,0
4.07,50.5,0,36.9,0
4.42,54.24,5,29.55,0
4.59,90.38,3,13.57,1
6.22,88.57,4,25.5,1
5.8,95.76,4,13.78,1
6.47,92.73,1,17.63,1
7.88,84.16,7,10.29,1
8.32,52.62,1,17.25,1
7.46,89.14,3,23.22,1
9.6,92.28,4,31.53,1
1.16,89.95,0,46.77,0
2.76,75.42,5,31.61,0
1.07,61.65,1,38.22,0
6.83,92.27,4,24.31,1
9.08,86.36,5,40.07,1
3.19,99.04,7,34.82,1
9.34,57.78,8,28.39,1
1.54,61.28,5,17.75,0
9.41,60.59,4,22.14,1
4.16,89.63,3,34.84,1
1.91,59.35,1,27.04,0
5.37,53.33,1,45.58,0
3.31,99.93,6,19.39,1
3.56,51.24,4,12.92,0
3.77,91.76,6,33.57,1
8.23,68.27,0,45.44,1
5.85,92.08,0,24.59,1
3.8,77.73,4,35.91,1
6.49,95.08,1,19.26,1
7.45,96.31,7,32.34,1
3.45,50.45,2,41.47,0
4.72,53.77,0,44.68,0
2.1,62.52,1,14.2,0
2.63,83.47,9,24.25,1
7.13,94.41,9,35.59,1
2.63,73.0,6,11.39,0
5.73,80.35,5,37.62,1
7.38,59.42,7,31.12,1
1.96,90.25,6,21.54,0
6.11,98.37,9,42.59,1
3.31,63.43,7,21.6,0
9.67,74.74,2,49.66,1
5.35,54.31,5,42.65,1
8.25,77.96,6,38.32,1
5.95,75.14,9,12.45,1
1.39,57.22,0,46.17,0
6.7,72.1,0,41.6,1
9.56,66.71,6,19.16,1
6.41,76.09,2,25.69,1
8.37,79.28,2,20.75,1
8.96,50.42,4,49.38,1
3.05,88.05,5,44.17,1
2.91,85.65,1,47.21,0
6.5,68.31,2,41.55,1
4.7,52.65,5,28.25,0
8.56,87.75,2,18.22,1
9.1,97.76,4,18.32,1
4.18,62.01,8,16.07,1
3.13,66.18,2,31.87,0
8.02,59.19,5,46.8,1
3.47,78.85,4,49.67,1
8.4,57.74,4,21.49,1
4.81,67.81,5,37.89,1
7.01,84.85,5,33.88,1
1.86,78.01,0,29.56,0
6.61,69.32,8,36.63,1
5.07,71.01,4,24.85,1
6.28,78.11,0,47.78,1
2.51,50.29,7,38.22,0
7.63,53.93,6,40.17,1
8.77,94.06,6,19.7,1
2.95,53.89,4,16.74,0
1.86,85.34,0,25.77,0
1.21,96.0,8,40.67,1
6.78,63.53,8,47.55,1
6.46,68.52,7,27.09,1
5.92,78.45,4,40.97,1
3.09,94.09,2,28.82,0
4.52,97.1,7,21.81,1
6.35,86.98,0,39.57,1
5.47,54.33,2,41.93,0
9.89,83.46,6,18.11,1
2.23,70.52,3,22.21,0
7.26,73.54,6,29.79,1
4.64,52.46,4,17.46,0
4.85,59.55,5,47.15,1
7.46,89.53,6,33.65,1
7.23,72.7,9,14.85,1
9.92,65.08,6,17.36,1
2.16,69.2,6,48.17,0
1.94,92.72,6,39.53,1
7.52,87.45,6,39.38,1
6.21,63.62,2,12.9,0
3.47,55.88,2,45.81,0
1.71,62.6,6,27.75,0
1.77,96.04,1,36.39,0
9.05,79.08,1,48.39,1
2.73,76.67,2,14.0,0
3.91,79.82,3,29.29,0
3.04,68.3,5,11.98,0
4.19,90.36,7,29.98,1
1.62,76.16,9,20.09,0
5.67,55.84,9,46.44,1
1.61,56.45,6,25.94,0
8.2,76.84,3,35.35,1
3.1,96.83,1,44.41,0
5.86,65.42,1,49.35,1
8.92,93.48,3,30.15,1
6.86,88.2,5,28.23,1
5.8,62.39,2,13.03,0
3.92,51.82,5,10.51,0
4.0,55.09,4,34.35,0
7.03,86.42,4,12.62,1
9.95,59.98,1,25.22,1
6.96,68.56,7,10.14,1
6.02,75.08,4,34.61,1
7.58,86.27,1,27.02,1
5.19,55.66,6,15.08,1
1.54,70.32,8,21.85,0
6.06,74.25,8,32.79,1
9.62,77.04,0,36.27,1
2.58,90.92,6,28.49,1
7.21,58.58,8,42.16,1
2.81,90.39,5,14.5,0
5.82,84.64,0,13.38,1
1.87,77.79,1,11.77,0
5.05,84.98,3,31.43,1
7.81,70.6,3,38.25,1
4.13,56.92,1,15.22,0
6.98,83.29,7,35.56,1
8.16,76.23,1,29.08,1
9.34,81.97,2,49.49,1
3.11,66.9,3,38.7,0
4.59,95.34,8,36.3,1
2.37,79.37,9,32.82,1
9.93,54.27,0,49.89,1
9.34,72.49,7,49.22,1
5.86,87.82,4,31.52,1
8.58,89.71,6,28.21,1
5.69,74.73,7,28.48,1
6.61,94.74,4,27.13,1
1.8,63.38,7,31.26,0
7.8,70.53,9,20.94,1
2.15,94.93,7,47.07,1
8.43,94.81,8,29.61,1
8.04,84.29,1,43.68,1
7.38,92.95,2,29.01,1
1.33,54.44,0,38.73,0
3.73,93.25,3,23.48,1
3.37,66.03,4,34.99,0
4.24,58.92,0,29.93,0
1.79,61.97,7,24.68,0
9.43,70.9,1,45.26,1
5.98,62.56,0,14.51,0
3.75,66.03,1,29.48,0
4.57,56.75,4,17.77,0
5.02,64.81,8,44.44,1
6.41,78.61,8,20.14,1
5.64,72.09,1,35.34,0
9.27,67.34,1,16.62,1
5.47,87.32,2,26.2,1
9.93,94.68,6,45.97,1
8.66,87.84,2,16.64,1
2.88,66.6,0,36.53,0
9.38,87.22,5,18.18,1
2.05,57.6,2,26.63,0
8.36,56.52,0,31.62,1
4.43,67.28,3,33.09,0
8.9,90.39,0,34.1,1
8.81,62.32,0,35.61,1
8.25,53.16,1,20.87,1
8.11,56.59,9,26.05,1
3.74,92.94,7,11.49,1
1.73,81.69,1,40.75,0
4.63,62.66,1,43.48,0
2.56,77.76,9,17.97,1
7.25,76.38,9,18.06,1
4.11,82.77,7,11.68,1
9.78,61.66,5,48.82,1
6.77,93.22,3,42.29,1
8.4,65.47,2,24.43,1
2.19,84.71,0,29.28,0
8.76,50.81,2,21.68,1
9.3,68.63,8,33.89,1
5.38,67.59,4,38.69,1
6.46,77.17,5,27.89,1
7.88,53.64,4,44.94,1
2.57,89.51,0,30.68,0
5.52,60.89,9,15.77,1
4.59,83.85,0,34.89,0
2.32,90.16,3,28.49,0
4.31,78.09,2,47.43,0
1.61,87.04,7,25.68,0
1.23,83.09,6,26.11,0
2.22,67.78,6,36.03,0
9.67,90.44,7,31.08,1
5.95,64.74,9,24.98,1
9.69,78.56,6,49.59,1
4.89,87.27,9,22.09,1
3.81,68.95,1,21.1,0
5.56,65.14,3,44.58,1
4.96,72.97,5,10.13,1
1.95,90.9,2,18.05,0
6.77,96.5,2,33.62,1
2.94,77.25,5,16.5,0
6.58,83.07,0,49.43,1
6.85,95.16,0,28.57,1
2.37,54.93,4,33.89,0
1.55,61.6,0,16.41,0
8.03,85.45,9,21.58,1
5.14,91.19,7,34.58,1
1.52,92.85,1,31.98,0
9.95,70.76,5,41.37,1
1.52,54.47,9,20.77,0
7.26,71.89,9,36.14,1
9.85,61.54,4,21.64,1
3.15,64.56,9,33.47,1
2.28,88.61,3,34.2,0
2.09,53.78,0,14.87,0
3.73,91.38,2,31.95,0
1.91,71.38,3,10.48,0
7.23,79.8,1,30.05,1
1.56,54.48,1,37.9,0
5.58,66.87,1,12.91,0
9.97,54.49,0,47.55,1
8.33,98.08,9,28.35,1
6.54,90.36,1,47.54,1
3.76,72.98,5,14.3,0
6.62,61.18,2,48.0,1
5.74,96.67,9,14.37,1
4.83,67.23,4,28.46,1
2.18,58.05,0,47.52,0
8.98,78.16,7,19.31,1
5.05,97.19,3,11.39,1
2.75,50.19,8,41.72,0
4.31,61.91,3,33.84,0
4.73,96.92,1,30.56,1
8.45,58.55,2,11.37,1
7.6,55.66,4,36.13,1
7.92,78.51,9,16.86,1
1.1,93.09,5,47.25,0
