Age,Income,Credit_Score,Loan_Amount,Employment_Years,Loan_Approval
31,33386,324,8656,16,1
58,144069,805,26618,9,1
22,74460,624,25530,16,1
27,26221,637,26872,15,1
38,43474,394,33330,19,1
47,126073,844,21139,5,1
54,135375,445,37977,6,1
47,132660,530,9983,13,1
37,41045,794,44909,10,1
44,111319,337,47886,11,1
45,136582,724,26329,13,1
27,125693,736,41734,4,1
26,24922,667,47837,4,0
44,131943,644,13818,19,1
53,42706,459,15918,14,1
49,62771,849,47418,0,1
42,72335,840,6250,8,1
46,118015,443,9758,2,1
48,72949,644,42131,3,0
41,90714,568,7163,15,1
27,115558,567,47583,6,1
37,35240,468,39621,13,0
40,111756,332,22137,15,1
40,122272,676,37103,17,1
42,22716,513,26832,15,0
48,36574,739,6868,15,1
27,131815,791,46862,1,1
21,103255,692,24728,9,1
52,93717,788,43006,6,1
33,131299,328,33029,14,1
50,64066,338,44857,8,0
43,135066,472,33183,6,1
39,81826,316,27785,15,1
52,40213,355,23940,2,0
50,91916,525,10280,16,1
49,86151,366,42012,7,0
49,148518,496,7164,1,1
50,137018,322,32188,19,1
36,149024,536,19088,2,1
39,70906,437,23405,7,1
38,20463,772,7821,1,1
21,51973,528,27516,18,1
34,94694,616,15473,16,1
22,40651,500,47530,4,0
48,88694,557,43737,19,1
50,40008,779,17178,16,1
58,131738,477,43936,9,1
24,90474,422,32018,8,1
21,58185,641,22097,5,1
28,107924,470,19096,10,1
49,94417,358,44971,1,0
59,145502,764,8545,11,1
23,91139,559,29798,11,1
52,54980,672,5863,15,1
30,42504,394,21148,11,0
30,74970,424,26009,17,1
39,36766,340,22809,12,0
54,136944,553,23688,14,1
53,113922,306,5653,15,1
43,31695,770,13129,3,1
48,37796,810,31418,11,1
52,62543,368,28118,16,1
27,34559,380,5443,0,0
49,124450,841,32041,17,1
28,53139,561,28843,15,1
21,140494,388,26053,0,1
23,123869,507,35848,9,1
44,28802,512,42874,18,0
43,93843,565,42204,15,1
28,60205,592,47240,13,1
57,118750,506,40807,1,1
23,54159,632,33213,5,1
53,31516,376,13291,4,0
48,70492,587,48046,11,1
28,49086,346,21285,3,0
54,133758,499,31886,3,1
55,50480,726,18944,4,1
52,72091,509,40505,6,0
44,148023,719,28340,5,1
34,130195,453,35025,12,1
52,67766,821,6607,3,1
36,58737,714,7953,12,1
24,29265,652,49941,3,0
57,134165,456,10933,9,1
41,139501,560,16386,19,1
34,138257,376,9682,0,1
51,90990,787,49052,7,1
38,121454,430,16154,6,1
27,111717,754,14047,4,1
30,35386,462,27993,2,0
27,124718,314,15338,14,1
53,57425,531,19323,16,1
43,141635,494,42693,12,1
41,63254,841,28634,14,1
39,109863,658,31292,18,1
39,138350,630,43551,19,1
56,73634,726,14917,13,1
49,106717,796,15145,12,1
38,67662,785,34717,11,1
22,106988,748,44491,8,1
21,123784,712,21905,2,1
25,126337,629,35273,10,1
40,119287,446,31234,9,1
31,107527,558,18349,0,1
22,126847,591,6002,16,1
23,95452,442,44034,12,1
43,30143,664,37573,13,1
32,111391,389,32803,0,1
40,35581,463,16330,1,0
25,87443,780,31504,1,1
57,49424,383,19980,6,0
58,108844,376,12017,8,1
50,61984,816,46353,3,1
29,61505,784,21011,1,1
54,132061,403,23001,18,1
55,122478,751,22044,4,1
42,82699,786,43292,8,1
44,46957,638,10250,12,1
37,45464,777,45280,11,1
30,134012,522,28289,18,1
50,43649,308,38087,8,0
43,62065,352,15416,9,1
52,112661,376,30159,18,1
37,54758,802,41368,9,1
37,25596,615,10279,11,1
34,36374,464,30157,13,0
29,138686,578,20494,7,1
22,23775,326,30574,15,0
45,47388,369,30333,16,0
59,143800,517,38050,19,1
29,41029,664,37263,3,0
42,103981,605,37539,5,1
24,73639,423,19030,11,1
46,134010,318,27721,17,1
49,34645,556,10166,6,1
54,51105,595,12121,4,1
43,33668,321,19677,9,0
57,147949,749,36241,5,1
31,35960,849,21373,13,1
26,146519,347,26873,5,1
38,31357,482,42664,13,0
41,84604,734,6293,11,1
56,122739,406,27443,11,1
58,71796,487,44725,7,0
54,35804,385,23595,9,0
37,147732,755,14740,15,1
57,135733,436,17559,19,1
45,34626,635,47741,7,0
58,48132,768,44044,8,1
32,27951,702,26747,12,1
43,26449,839,45920,19,1
42,39065,371,12973,16,1
41,121503,323,20333,18,1
47,125072,784,35129,16,1
51,29130,355,5037,6,0
26,109360,522,43758,0,1
47,82287,478,37311,19,1
54,126937,733,43206,13,1
32,71702,749,33207,16,1
27,56993,791,48624,12,1
30,51875,488,38241,1,0
37,135284,719,5058,13,1
46,26054,548,7636,0,0
41,119809,463,35635,4,1
48,127357,554,19834,6,1
22,68517,775,20577,18,1
21,96368,716,32190,13,1
56,49670,469,12296,13,1
46,69112,616,26383,14,1
49,108388,473,29660,4,1
41,109156,769,47493,4,1
31,48307,644,7674,1,1
31,133087,744,48833,17,1
56,87087,317,27820,8,1
59,67922,369,24504,9,1
55,83080,637,30666,17,1
54,113348,826,48794,3,1
44,99335,755,7076,7,1
42,46312,568,42555,17,1
25,125156,487,37406,19,1
53,86985,828,45262,16,1
56,140641,733,30784,15,1
40,77608,587,26125,17,1
39,109962,798,28216,6,1
55,120963,740,7581,0,1
37,60277,602,20600,0,1
54,51551,386,35284,17,0
29,109813,737,25171,3,1
46,76597,840,30091,19,1
22,121025,321,19333,19,1
29,144342,816,35535,3,1
29,65212,802,28487,5,1
37,29637,766,15404,2,1
21,63258,400,48934,5,0
45,55693,440,38700,12,0
45,29824,437,23047,6,0
59,149553,527,46516,3,1
55,46950,580,20577,0,0
23,43488,730,29298,5,1
57,147870,339,20015,4,1
50,124544,818,30568,12,1
58,135200,510,31204,18,1
54,20215,601,36748,3,0
32,125603,385,31267,5,1
39,31523,696,26236,12,1
57,95900,552,37615,4,1
37,88689,832,6104,12,1
30,43834,680,22654,9,1
32,54474,743,47369,2,0
36,63066,332,8646,12,1
44,119871,559,26471,11,1
39,30400,533,30906,3,0
28,145211,814,26107,9,1
51,30345,607,19878,2,0
41,53896,369,14145,16,1
37,105430,753,28042,8,1
43,48899,738,23226,0,1
57,126171,663,7802,17,1
36,48229,780,29119,8,1
26,137053,443,32185,19,1
28,25583,323,11105,8,0
45,24897,724,7749,1,1
38,140406,474,47949,18,1
45,91537,624,39129,15,1
32,129417,647,29512,2,1
35,24567,317,41541,15,0
46,94807,343,18495,12,1
46,149648,454,7064,2,1
52,132652,676,35078,9,1
30,97239,701,35011,17,1
36,33329,524,10616,5,1
27,121045,516,12975,5,1
37,137708,330,15960,17,1
43,91792,358,32992,5,0
46,20228,652,26387,5,0
41,110282,744,20324,12,1
42,102214,534,11243,13,1
27,57052,406,37628,6,0
34,77769,490,14560,12,1
35,66032,829,46098,14,1
27,131694,544,9923,11,1
29,108721,375,44235,0,0
28,53686,846,26325,2,1
43,96981,566,32949,17,1
49,118802,616,27821,7,1
38,83261,420,11076,1,1
51,22809,324,27032,3,0
50,123265,731,13001,17,1
59,61785,459,20303,12,1
55,56547,413,21457,14,1
38,62818,801,46443,1,0
59,120422,465,17303,9,1
37,91927,474,20128,1,1
34,85681,300,23280,11,1
51,99465,385,44427,4,0
44,109862,619,36644,11,1
55,115527,700,43014,0,1
54,133221,681,11967,1,1
23,57333,617,11661,15,1
57,146457,549,17416,1,1
46,36576,824,5510,15,1
43,139875,555,46382,19,1
59,59405,606,40200,15,1
35,114000,443,6906,5,1
24,93779,690,30534,12,1
49,51601,468,21448,11,1
42,87946,597,42696,9,1
45,87356,532,9710,4,1
33,72116,570,49308,7,0
38,120825,359,43892,5,1
53,144749,595,45605,4,1
36,137256,766,20583,19,1
22,124186,534,22184,5,1
55,82894,533,29853,16,1
54,54635,667,11109,5,1
50,27465,531,47677,16,0
33,76754,790,11659,4,1
33,117975,802,6238,16,1
38,112850,680,20064,16,1
52,129765,727,36115,12,1
52,105119,663,36952,6,1
55,112691,501,10620,5,1
59,58871,445,39254,13,0
49,82874,756,42449,15,1
49,97733,434,49258,2,0
36,49511,563,9470,8,1
30,100960,363,27003,14,1
50,68821,790,32571,17,1
45,85776,340,29668,9,1
59,138128,595,16723,9,1
40,90167,302,36040,2,0
25,95135,409,44945,0,0
21,64462,520,37046,2,0
50,81382,669,10441,4,1
23,110194,667,16719,6,1
34,123381,735,10397,2,1
50,52574,303,39389,3,0
24,122072,543,22945,16,1
38,61910,465,27233,2,0
57,93531,325,22800,3,1
45,45186,694,9190,1,1
21,114781,773,42822,13,1
35,42813,316,6130,4,0
29,98812,391,19071,1,1
35,105525,782,24981,14,1
44,98282,842,49704,10,1
24,129779,504,7118,9,1
32,38557,801,5663,19,1
57,48060,699,20735,0,1
57,78866,506,24158,18,1
26,92104,445,36087,13,1
59,120905,400,27578,13,1
44,104577,540,24874,0,1
31,26080,462,47531,8,0
33,33854,472,22907,16,1
54,142013,801,45821,13,1
45,87695,846,27787,12,1
27,47025,583,26705,12,1
24,72982,658,8845,5,1
28,61081,680,44069,6,0
40,24368,832,49653,1,0
49,119621,462,21482,7,1
30,139181,606,40056,5,1
54,47094,638,31090,2,0
46,66040,354,25681,17,1
23,86766,632,37252,17,1
26,103053,426,12796,5,1
25,43991,542,12263,10,1
25,21301,708,17777,2,1
43,48610,802,46538,15,1
29,101463,602,25343,4,1
55,54678,763,45153,1,0
40,44466,534,19862,14,1
55,100440,337,46232,15,1
38,60875,438,42649,6,0
37,46081,494,20691,15,1
44,44354,826,30028,3,1
23,113297,300,47135,15,1
52,38300,395,36066,16,0
55,84384,712,38181,1,1
58,115027,837,22934,15,1
33,141684,728,25910,3,1
45,80892,534,12141,6,1
29,55525,648,21225,17,1
24,46532,780,39714,5,1
34,26464,695,26587,17,1
57,36562,650,37959,6,0
54,127392,715,19175,1,1
31,75514,350,15051,18,1
23,133428,380,10892,8,1
48,132564,335,8449,3,1
49,128047,366,46095,13,1
29,94219,780,43677,4,1
23,52634,767,17393,6,1
45,20060,441,34190,7,0
54,29269,655,39709,14,0
32,83143,770,36533,18,1
29,43065,738,31141,10,1
35,22895,830,41989,19,1
45,100859,426,28908,3,1
25,32352,504,44311,17,0
31,130179,328,37322,13,1
54,69737,744,19012,5,1
44,124127,763,39889,15,1
35,116426,579,22412,17,1
58,52016,450,35614,0,0
28,81304,539,49494,7,0
25,31962,565,29657,0,0
46,53302,404,10656,0,0
38,105382,732,13967,18,1
26,24011,796,24422,9,1
57,149716,739,20764,17,1
33,39782,457,20873,11,1
48,87691,471,33949,16,1
25,140654,793,48847,0,1
33,142017,610,7271,7,1
37,59725,702,6607,9,1
52,29196,762,24523,9,1
49,63459,666,32990,17,1
23,107245,849,8665,8,1
54,149613,554,21308,1,1
47,98863,507,10852,2,1
33,143206,749,10462,1,1
53,139391,394,36795,5,1
26,121010,777,9270,11,1
44,52769,489,29491,18,1
39,127529,783,41230,14,1
36,145361,835,5347,18,1
48,44700,722,37830,11,1
53,135792,432,6783,17,1
33,100356,354,33390,15,1
45,96427,809,13417,1,1
56,120165,840,11566,10,1
47,25269,709,22426,11,1
58,141631,510,35750,4,1
27,63880,592,15872,5,1
25,134003,414,33695,10,1
51,28320,558,6234,9,1
43,69589,421,39752,3,0
30,139534,598,33832,8,1
52,96276,680,22978,11,1
50,55897,800,27641,9,1
59,78565,596,32127,13,1
51,50930,661,39720,4,0
38,77233,762,23079,0,1
56,102821,737,22338,4,1
22,34380,426,8291,15,1
34,96896,496,13548,4,1
33,90934,520,49555,4,0
49,75830,390,38736,17,1
32,25529,710,33022,5,0
59,141292,307,9234,17,1
22,114598,843,31720,9,1
52,122222,767,46106,14,1
33,102987,619,45117,10,1
47,69178,693,18368,18,1
37,26937,568,13734,12,1
51,141952,490,46651,19,1
54,59886,360,38793,2,0
44,69699,737,17197,15,1
55,96396,563,8359,6,1
26,110678,394,43025,11,1
39,45279,769,40719,14,1
50,58106,813,12389,7,1
27,130776,493,19952,16,1
30,121444,781,34075,0,1
52,126300,635,23939,7,1
54,133793,734,20624,13,1
48,136278,495,6735,9,1
35,99737,548,29315,18,1
50,60544,797,22422,7,1
57,123247,511,44137,18,1
49,131190,765,12127,3,1
42,28997,520,40680,9,0
24,126102,572,17606,2,1
40,105711,453,37743,3,1
52,136045,548,39010,15,1
56,60860,578,20636,3,1
24,23225,739,30348,19,1
47,130114,575,15108,19,1
37,79470,813,13098,12,1
32,133218,387,41180,16,1
42,148854,804,23883,15,1
37,120764,540,49400,16,1
30,127041,535,12160,5,1
21,132224,427,24929,2,1
42,83656,802,22597,19,1
46,71880,499,16123,3,1
38,81078,842,33357,7,1
34,108646,801,9960,19,1
49,96290,791,38556,8,1
32,76633,320,23255,0,0
56,46655,533,18350,12,1
55,141118,715,35881,1,1
32,63601,447,23409,9,1
27,23114,328,37635,18,0
49,46502,660,7446,16,1
31,69768,607,35657,12,1
53,68128,461,26207,13,1
26,40028,360,13752,10,1
35,75565,424,18440,9,1
52,103123,755,49864,6,1
31,128255,370,11499,9,1
43,55333,765,26139,0,1
46,23174,542,19767,13,1
54,137769,789,27343,2,1
54,55398,520,32712,12,1
49,55929,772,24673,1,1
24,24321,832,34488,16,1
37,143549,793,31520,2,1
55,115971,381,49105,14,1
33,131508,821,20784,7,1
59,75421,311,43079,5,0
35,92635,562,49220,8,1
49,43760,748,25491,10,1
49,31360,491,40268,1,0
31,30313,413,19718,8,0
52,131806,325,40597,17,1
22,105998,798,37815,18,1
34,25801,807,40132,17,1
40,34130,844,31832,4,1
42,34271,361,36862,17,0
31,36075,528,17864,11,1
47,122455,334,27842,3,1
23,127215,755,13177,14,1
37,38984,801,45699,10,1
48,108095,324,16844,18,1
49,80942,331,13594,4,1
41,32861,311,18418,5,0
36,118970,618,39854,12,1
57,102203,300,28108,9,1
40,91376,734,15419,13,1
26,81247,435,27539,3,1
39,89101,495,49370,19,1
25,128730,432,48950,11,1
23,40977,385,17835,14,1
21,70617,775,22533,9,1
58,77473,623,34515,10,1
35,106654,479,40921,8,1
54,108177,815,46968,10,1
55,92902,474,27322,1,1
45,112172,320,15223,12,1
44,35630,404,15273,7,0
32,40056,742,38519,7,1
38,27382,348,29160,0,0
35,75739,827,13849,5,1
36,101685,444,30656,12,1
47,68639,639,15348,8,1
28,79838,653,22924,5,1
45,66041,374,43935,14,0
37,20992,618,44132,15,0
49,92394,386,6983,3,1
28,87657,341,29890,16,1
35,47160,392,19629,8,0
47,65156,806,16273,11,1
27,71375,828,36739,18,1
23,106442,564,45416,19,1
49,39572,591,12894,11,1
44,137925,763,29343,5,1
23,24136,396,48095,11,0
40,81868,394,36174,8,0
35,102263,625,49179,19,1
45,52167,373,11900,4,1
50,130957,635,8800,2,1
34,35479,367,40246,1,0
27,139392,376,47735,7,1
37,51376,507,47926,9,0
40,24823,520,12054,14,1
56,145156,561,43827,8,1
29,90456,709,47727,9,1
58,39585,630,49775,10,0
42,123775,643,46201,8,1
22,37272,373,34373,13,0
44,46619,553,32525,4,0
28,95069,631,43977,8,1
31,59895,697,12115,3,1
33,23720,644,36107,1,0
37,39267,754,35486,18,1
28,35696,414,18068,0,0
41,49968,612,23640,0,0
38,73364,527,37158,11,1
50,43345,544,41136,10,0
38,71567,825,21128,0,1
51,111229,827,29942,13,1
58,81607,726,7827,10,1
52,39385,341,20990,6,0
31,103658,764,40255,1,1
45,86900,577,24987,14,1
53,88244,318,25901,7,1
58,85425,365,21277,19,1
28,98518,466,6643,14,1
31,102844,702,28729,7,1
42,52919,708,26087,9,1
44,110697,411,26818,18,1
37,77196,573,5019,2,1
32,135600,706,38443,19,1
52,120625,672,14457,13,1
35,99401,338,38922,8,1
36,20495,404,14820,8,0
42,64755,623,37750,5,1
48,87684,713,47586,7,1
40,53324,728,41484,10,1
53,98929,360,43010,7,0
30,21552,606,42790,11,0
52,71272,653,27869,9,1
53,55853,692,39421,3,0
22,138192,503,7502,15,1
53,52924,557,21665,19,1
53,94462,785,30600,5,1
33,116387,816,34394,8,1
50,43889,745,19086,4,1
53,125466,479,41171,5,1
33,74675,641,39003,16,1
46,142231,432,18149,16,1
42,93591,742,35394,12,1
59,90190,552,19396,16,1
22,42634,564,28324,13,1
58,52363,392,22169,1,0
59,83752,710,49277,18,1
46,97004,437,31243,2,1
35,76398,507,36016,1,0
54,118458,606,8194,1,1
31,60718,565,37398,6,0
23,133627,617,9789,3,1
26,102916,412,25159,16,1
29,46870,677,48406,5,0
26,57394,753,10350,6,1
29,72057,490,38301,19,1
59,99795,739,29977,5,1
51,100409,486,41431,8,1
52,33016,666,5129,19,1
32,62137,388,39626,3,0
28,20153,486,32549,4,0
28,27853,431,17342,18,1
48,32379,675,41417,9,0
40,35792,398,15978,17,1
27,141169,333,42628,14,1
31,58367,470,47180,0,0
40,38100,665,13833,4,1
36,146082,358,38491,4,1
24,133089,480,34473,7,1
26,83456,318,5737,19,1
42,31049,525,34429,14,0
46,20786,772,6299,16,1
23,89904,394,5339,18,1
34,50699,596,37920,12,1
31,142784,474,47381,9,1
38,67691,521,24435,16,1
32,57040,353,38194,4,0
43,138455,702,29509,17,1
32,112990,617,47095,16,1
33,77986,648,49289,3,0
45,58762,742,6373,6,1
39,43600,839,12082,4,1
56,114774,581,30532,7,1
28,110777,659,47661,7,1
49,39810,307,23866,10,0
52,105703,790,12593,8,1
38,107347,640,14495,18,1
26,125315,771,12837,18,1
38,77204,548,16172,8,1
39,40085,534,23680,19,1
42,66854,382,35346,16,1
57,94797,392,48085,15,1
52,104269,693,28412,6,1
23,59779,567,27863,2,0
48,76207,716,35804,18,1
30,114615,828,15934,7,1
55,53980,552,35723,4,0
49,76117,421,25405,5,1
35,34141,309,23748,1,0
53,29344,615,10230,18,1
27,125008,572,27354,12,1
32,35896,605,13954,5,1
50,109353,509,28139,5,1
41,49813,763,22388,1,1
51,104431,715,44825,4,1
44,85679,515,41523,10,1
40,30681,379,40614,10,0
57,92903,779,40732,13,1
24,23228,846,46646,12,1
48,24582,317,26021,7,0
40,98683,464,32702,14,1
44,31397,824,40523,11,1
52,58799,501,24116,2,0
56,57011,645,11473,4,1
54,99183,665,27735,5,1
56,113254,747,39461,1,1
22,64264,812,16084,7,1
35,62317,618,49771,4,0
54,67914,516,33756,16,1
56,104633,333,22068,1,1
26,122489,565,33916,10,1
59,144237,379,7919,3,1
32,65254,712,28550,10,1
23,60096,551,41524,8,0
38,73785,311,8283,5,1
41,72344,700,9691,1,1
35,134988,581,28212,14,1
53,102643,411,45118,4,0
55,140382,677,33602,11,1
46,88546,567,22540,12,1
28,91091,597,40829,16,1
56,85603,616,10919,3,1
50,48412,808,27277,9,1
43,130489,845,22676,0,1
34,71658,664,47844,10,1
34,119841,846,14752,15,1
22,69549,570,21012,10,1
57,147595,773,14175,8,1
25,31549,836,45670,1,0
58,91216,533,7067,6,1
34,45739,358,36478,18,0
59,41209,550,31439,17,1
45,127051,385,39747,19,1
40,107968,689,34810,6,1
22,35116,479,23302,8,0
59,40045,448,5700,11,1
26,46327,420,41814,2,0
37,55709,555,39841,15,1
45,63617,608,49713,6,0
48,80139,358,8048,4,1
22,46905,368,38290,6,0
55,84148,745,16101,18,1
57,92603,687,34778,16,1
25,118095,385,32425,15,1
21,139779,526,46509,18,1
32,62919,483,22852,17,1
56,103521,621,29500,18,1
43,112905,617,17674,3,1
51,103400,698,28195,0,1
31,108150,592,29371,3,1
30,78446,592,38053,3,1
23,72428,784,16957,8,1
34,67894,746,12108,7,1
36,101149,711,22829,1,1
30,26447,807,10837,5,1
49,25499,543,20032,10,1
30,59041,719,39234,3,1
32,51315,453,31352,13,1
50,21299,723,35215,8,0
21,140506,572,14106,1,1
25,125005,819,46247,0,1
40,24994,427,33766,3,0
28,115414,672,48048,11,1
32,101163,458,43700,4,0
21,146759,475,14996,8,1
40,27489,510,6178,3,1
48,111647,746,40319,15,1
57,52355,466,21025,1,0
57,93805,759,14780,15,1
32,88367,656,27706,15,1
57,129906,603,47916,10,1
48,137409,532,14967,0,1
35,97355,626,35856,14,1
26,136220,481,42630,3,1
40,110349,633,14179,17,1
34,107173,328,43623,16,1
22,21996,392,22587,6,0
29,139999,629,28733,17,1
57,64387,483,27770,12,1
40,134965,394,38887,19,1
46,23089,652,8975,19,1
49,118827,564,17919,9,1
21,40659,318,14602,0,0
55,65178,798,39060,1,1
26,140053,438,47154,16,1
57,115965,824,15140,2,1
25,101268,554,26170,16,1
53,105042,384,33830,11,1
34,126471,757,49540,11,1
32,90726,831,11590,19,1
40,90111,391,35609,9,1
44,126031,368,22401,6,1
54,133682,336,32729,9,1
45,54565,439,42944,17,0
49,120435,477,33645,5,1
59,109242,436,34047,6,1
51,133204,489,27560,16,1
43,149642,641,11647,11,1
58,42884,304,26106,16,0
40,37199,556,11015,17,1
43,80038,542,26506,13,1
36,77786,714,29067,10,1
28,129636,642,7056,1,1
41,124970,678,36719,0,1
21,69294,445,34328,10,1
28,98015,622,17176,1,1
49,54178,421,47771,15,0
52,32665,551,36885,2,0
58,149604,610,26269,19,1
25,20534,774,8114,0,1
42,111828,791,18442,19,1
54,56132,646,45151,7,0
21,135720,786,6629,18,1
46,56110,772,22927,0,1
30,78754,681,36317,4,1
50,83580,579,28896,0,1
38,42469,371,33155,10,0
37,84016,820,23288,8,1
46,66233,665,26415,4,1
28,122804,393,41085,1,1
32,149863,672,16251,12,1
47,86708,638,41884,17,1
28,78232,736,30574,11,1
45,113450,635,14623,13,1
24,106437,791,25936,4,1
53,126311,339,11123,9,1
21,54409,658,8061,19,1
39,135159,553,45857,1,1
51,39324,697,41499,3,0
36,28738,469,44095,11,0
34,123030,810,33451,10,1
25,130093,559,21361,3,1
46,44054,758,20907,10,1
48,49709,828,39814,8,1
22,129321,640,24605,9,1
26,105643,356,37256,5,1
29,148805,517,16332,14,1
53,20363,763,42832,9,0
45,30358,546,34476,5,0
33,121613,672,14445,0,1
29,135233,716,38490,19,1
33,23240,330,34767,3,0
51,92201,667,20210,13,1
31,65689,407,29159,19,1
24,21936,717,12564,19,1
54,132272,697,46043,7,1
58,111074,571,26219,10,1
24,63965,415,32946,14,1
58,97534,555,41587,18,1
39,20882,380,8364,7,0
26,40224,427,9318,12,1
54,125227,534,16479,17,1
38,143750,480,12398,16,1
33,139299,456,7452,5,1
43,145865,753,26672,14,1
39,132012,323,38193,12,1
31,143745,772,18865,17,1
21,50825,699,30345,10,1
44,90740,433,25359,12,1
27,48885,720,13799,0,1
45,60056,512,28053,17,1
41,23203,781,39892,4,0
35,80241,647,22684,5,1
21,22244,465,10015,0,0
32,118322,647,36665,6,1
27,135329,697,13657,3,1
35,88619,734,26951,8,1
41,41584,520,37063,14,0
39,28521,607,37743,5,0
49,70017,765,31521,16,1
45,53541,398,15731,19,1
53,49063,541,23744,17,1
52,90268,457,23423,3,1
55,145234,526,22568,8,1
58,146218,722,8934,13,1
46,138206,371,16409,2,1
31,84952,542,36410,0,0
55,113054,829,35808,10,1
28,59563,344,13172,0,0
34,59752,771,32358,11,1
30,115233,670,5777,8,1
22,22567,391,24763,4,0
29,36121,321,40186,14,0
23,21674,471,36170,17,0
41,96411,491,25461,8,1
46,129876,376,7439,12,1
28,86275,580,12804,12,1
22,87081,663,18212,12,1
26,49140,478,26653,9,1
48,145139,537,26971,9,1
49,29327,434,6989,6,1
46,90663,579,12868,4,1
45,43331,318,47026,19,0
32,43004,670,38712,6,0
25,127369,411,29604,19,1
54,139243,520,27135,9,1
57,30492,603,35544,9,0
35,74797,624,42918,12,1
56,78095,736,35847,14,1
35,33749,737,48774,5,0
43,83217,469,15680,19,1
26,109044,674,35083,11,1
41,29045,680,39433,18,1
43,40116,313,31309,10,0
36,38667,799,46719,5,0
35,95057,690,15349,0,1
45,94205,848,14543,1,1
56,47302,829,14460,14,1
31,31283,791,39553,3,0
35,50935,849,33525,4,1
24,92534,684,10948,14,1
41,114342,495,19498,10,1
33,51624,599,23991,9,1
42,33440,846,29974,16,1
39,131001,607,40398,1,1
54,66501,551,12660,19,1
34,107333,307,31245,9,1
24,21269,507,5238,19,1
47,27868,430,24920,2,0
49,50251,325,14338,18,1
48,97909,753,47517,4,1
55,104523,485,15349,2,1
28,58729,783,16643,7,1
36,35734,350,33274,4,0
56,62429,304,45667,11,0
50,61337,459,44913,13,0
38,60325,507,43629,6,0
22,103600,556,21632,10,1
33,82514,504,32144,7,1
24,28433,310,17321,4,0
46,133957,307,42091,7,1
45,29111,708,34256,11,1
50,123986,331,28485,14,1
31,83753,839,7860,18,1
27,133783,686,19919,15,1
51,100583,527,38337,13,1
30,93620,774,13411,6,1
59,41751,506,14586,7,1
33,36453,617,29312,6,0
51,105844,647,28055,17,1
27,58968,533,39890,5,0
56,50077,343,33807,18,0
40,128582,441,25384,3,1
24,54775,475,33925,2,0
27,78144,748,8089,16,1
21,68570,381,19242,18,1
33,66097,434,44978,14,0
42,44503,476,21433,5,0
41,22779,682,38282,11,0
42,106840,542,15983,18,1
48,20755,440,48738,5,0
29,59263,756,48578,10,1
46,128491,739,47797,19,1
29,75087,355,9671,19,1
35,62281,826,29133,9,1
30,71482,718,48209,15,1
44,74857,387,5414,17,1
28,142989,307,26242,13,1
44,37400,776,40184,3,0
36,60115,514,43379,11,0
46,34249,796,20231,19,1
47,133183,802,26849,7,1
57,66825,544,46163,6,0
24,130361,777,36676,8,1
44,44600,608,27056,16,1
39,57706,530,46028,9,0
56,39222,682,24947,2,1
59,119041,454,31040,7,1
30,124504,474,30282,13,1
45,61139,414,31201,6,0
38,134919,689,11833,15,1
39,136605,610,9752,17,1
56,61302,599,29507,10,1
30,114684,317,25169,5,1
53,107838,311,49746,19,1
25,88159,703,46495,13,1
55,28646,531,29930,12,0
54,33543,577,10023,3,1
53,114496,652,5982,19,1
41,148212,602,19305,19,1
37,42785,840,21146,10,1
42,98353,769,16201,17,1
57,51406,376,21910,0,0
35,108992,820,28031,11,1
55,71428,323,28636,17,1
48,43777,314,22314,6,0
27,77939,824,32332,11,1
52,73026,646,23330,0,1
31,106450,471,20365,3,1
30,49553,626,48501,17,1
29,43548,784,15108,14,1
34,83221,788,8360,2,1
33,57265,761,47553,6,1
45,145549,677,45880,5,1
22,60701,463,8625,14,1
55,71287,671,43237,14,1
27,26727,723,6223,5,1
41,130460,776,44878,7,1
38,70717,681,14157,7,1
23,52427,454,42760,0,0
59,36692,556,18646,12,1
31,51625,367,49638,12,0
59,44918,643,34024,10,1
44,126931,576,9787,3,1
39,61136,690,28202,6,1
24,134826,748,48908,11,1
46,134881,558,41067,12,1
58,72409,606,14360,11,1
52,35577,394,37692,15,0
59,105155,763,44219,5,1
56,131776,545,17941,13,1
57,119246,486,20993,18,1
53,122924,672,19620,15,1
56,146759,705,25193,3,1
23,140408,707,26248,4,1
29,101731,424,10027,8,1
28,47689,636,9260,2,1
53,31154,640,42596,9,0
26,124657,477,46540,16,1
59,114948,469,14012,18,1
24,41341,338,30823,9,0
33,117554,368,13315,11,1
22,94681,535,17631,6,1
25,127798,680,23258,17,1
47,66330,356,30099,18,1
52,138069,576,40891,14,1
41,107759,398,41992,6,1
28,88416,826,36376,11,1
58,145067,624,15977,6,1
28,106807,760,31694,9,1
23,53313,478,38978,19,1
23,66900,418,14218,9,1
42,98840,768,26788,4,1
26,54695,848,25501,17,1
22,50225,754,17453,8,1
43,106072,325,43197,15,1
22,116367,789,20210,6,1
58,69156,307,13689,9,1
37,97209,815,32381,4,1
55,107453,832,34508,6,1
54,47829,448,47653,4,0
43,100908,787,26142,14,1
50,45938,324,45950,18,0
28,79164,724,13916,9,1
42,74530,592,5375,7,1
56,140921,484,36449,8,1
25,88199,730,28797,10,1
33,80282,616,25782,1,1
49,67801,697,32028,2,1
51,29465,623,25243,12,1
36,23326,845,34379,10,1
50,23659,375,42780,9,0
36,80289,785,35740,14,1
32,47594,387,24984,5,0
37,135819,531,5050,0,1
